ReentrantLockSpaceship 4 r/4 w totalReads Ø 10.51, σ 0.99 totalMoves Ø 14.9, σ 1.23 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.2, σ 0
StampedLockSpaceship 1 r/1 w totalReads Ø 7.49, σ 0.41 totalMoves Ø 10.52, σ 0.48 totalReadAttempts Ø 1.38, σ 0.02 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 2.9, σ 0.17
StampedLockSpaceship 1 r/2 w totalReads Ø 23.38, σ 1 totalMoves Ø 21.86, σ 0.23 totalReadAttempts Ø 1.01, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.12, σ 0.01
StampedLockSpaceship 1 r/4 w totalReads Ø 13.46, σ 0.6 totalMoves Ø 27.58, σ 0.31 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.07, σ 0
StampedLockSpaceship 2 r/1 w totalReads Ø 20.36, σ 1.41 totalMoves Ø 5.11, σ 0.26 totalReadAttempts Ø 1.22, σ 0.01 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 4.84, σ 0.3
StampedLockSpaceship 2 r/2 w totalReads Ø 31.81, σ 1.26 totalMoves Ø 19.48, σ 0.17 totalReadAttempts Ø 1.01, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.21, σ 0.01
StampedLockSpaceship 2 r/4 w totalReads Ø 20.17, σ 1.14 totalMoves Ø 24.49, σ 0.31 totalReadAttempts Ø 1.01, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.12, σ 0
StampedLockSpaceship 4 r/1 w totalReads Ø 39.48, σ 8.05 totalMoves Ø 2, σ 0.07 totalReadAttempts Ø 1.13, σ 0.02 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 5.23, σ 0.18
StampedLockSpaceship 4 r/2 w totalReads Ø 88.85, σ 18.52 totalMoves Ø 14.06, σ 0.7 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.27, σ 0.02
StampedLockSpaceship 4 r/4 w totalReads Ø 59.39, σ 12.35 totalMoves Ø 20.78, σ 0.79 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.21, σ 0.01
StampedLockWithRetriesSpaceship 1 r/1 w totalReads Ø 7.31, σ 0.77 totalMoves Ø 13.37, σ 0.61 totalReadAttempts Ø 2.14, σ 0.16 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 4.86, σ 0.79
StampedLockWithRetriesSpaceship 1 r/2 w totalReads Ø 15.2, σ 4.23 totalMoves Ø 21.54, σ 5.09 totalReadAttempts Ø 1.19, σ 0.1 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 1.54, σ 1.24
StampedLockWithRetriesSpaceship 1 r/4 w totalReads Ø 12.61, σ 0.38 totalMoves Ø 26.82, σ 0.48 totalReadAttempts Ø 1.03, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.11, σ 0.04
StampedLockWithRetriesSpaceship 2 r/1 w totalReads Ø 17.12, σ 2.27 totalMoves Ø 8.5, σ 0.9 totalReadAttempts Ø 2.18, σ 0.1 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 9, σ 2.01
StampedLockWithRetriesSpaceship 2 r/2 w totalReads Ø 29.41, σ 1.5 totalMoves Ø 19.52, σ 0.67 totalReadAttempts Ø 1.04, σ 0.01 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.28, σ 0.06
StampedLockWithRetriesSpaceship 2 r/4 w totalReads Ø 16.93, σ 1 totalMoves Ø 25.09, σ 0.53 totalReadAttempts Ø 1.04, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.14, σ 0.01
StampedLockWithRetriesSpaceship 4 r/1 w totalReads Ø 38.79, σ 5.46 totalMoves Ø 8.89, σ 1.19 totalReadAttempts Ø 1.74, σ 0.1 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 18.77, σ 4.74
StampedLockWithRetriesSpaceship 4 r/2 w totalReads Ø 55.42, σ 12.49 totalMoves Ø 14.86, σ 0.46 totalReadAttempts Ø 1.04, σ 0.01 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.65, σ 0.06
